NewId;OldId;DE;LOD;DIST;KontenNr
wzg.wzg9-345-nbg_w10_10.m.de;WWQ_9345_10;10;3541;246;906742
wzg.wzg99-700-stg_pw1_129.m.de;;129;38745;57;9918777
wzg.wzg_9_484470_nbg_c3_75.m.de;WZG_AQ_9_484470_Nbg_75;75;3546;3;907779
wzg.cluster_aqq249_sbg_h_193.m.de;;193;3161;199;809415
wzg.wzg_99_2018_lin_a2_34.m.de;;34;38695;232;9906152
aq.hs_94_109199_mch.m.de;;0;36791;14;9418510
wzg.www_st2068_fr-w_blinker_58.m.de;;58;37562;133;9616005
wzg.aqb11_mch_b2_98.m.de;;98;3192;207;817359
wzg.aqb21_mch_b2_98.m.de;;98;3192;65;817217
wzg.wzg_96_171060_mch_pw2_2.m.de;;2;37538;227;9609955
wzg.wzg92-460-mch_c1_105.m.de;;105;36003;46;9216814
wzg.wzg99-260-sbg_a3_36.m.de;;36;38707;6;9908998
wzg.cluster_aq_9_akneuf_0638_hl_193.m.de;;193;35667;208;9130960
wzg.wzg_b2n_006916_gap_led1_gv_167.m.de;;167;809;163;207267
wzg.wzg_99_asash_0930_nz_w2_130.m.de;;130;38743;3;9918211
wzg.wzg92-696-mch_wta2_5.m.de;WWQ_92696_5;5;36000;23;9216023
wzg.wzgaq08-mch_dlzfs2_42.m.de;;42;36781;161;9416097
wzg.wzg_b2n_006170_gap_a1_gv_135.m.de;;135;809;150;207254
wzg.aq_a7_962_404_ulm_b1_131.m.de;;131;2773;71;709959
aq.aq_b17_740_0470_aug.m.de;;0;6705;99;1716579
wzg.wzg99-190-sbg_c2_106.m.de;;106;38705;92;9908572
wzg.aq_a7_960_770_fue_a1_161.m.de;;161;2812;28;719900
wzg.wzg_9_493840_nbg_c1_73.m.de;WZG_AQ_9_493840_Nbg_73;73;3547;203;908235
aq.aq_96_143879_mch.m.de;;0;37575;127;9619327
wzg.wzg_99_31800_sbg_c1_105.m.de;;105;38743;144;9918352
wzg.cluster_aq_96_140336_lin_195.m.de;;195;37575;46;9619246
wzg.wzg_b2n_007511_mch_led2_gv_161.m.de;;161;848;188;217276
